Front,Back,Level,Topic,Tags
Präsens регулярних дієслів?,"<div class=""rule""><b>Präsens регулярних дієслів</b><br>До основи додаємо особові закінчення: -e, -st, -t, -en, -t, -en.</div><div class=""example""><b>Приклад:</b><br>Ich <b>lerne</b>, du <b>lernst</b>, er <b>lernt</b>.</div>",A1,M05 01 Präsens,grammar tenses present A1
Практика 1: складіть речення за правилом «Präsens регулярних дієслів».,"<div class=""rule""><b>Модель</b><br>До основи додаємо особові закінчення: -e, -st, -t, -en, -t, -en.</div><div class=""example""><b>Правильно:</b><br>Ich <b>lerne</b>, du <b>lernst</b>, er <b>lernt</b>.</div>",A1,M05 01 Präsens,grammar tenses present retrieval
Зміна голосної в Präsens?,"<div class=""rule""><b>Зміна голосної в Präsens</b><br>У деяких сильних дієслів змінюється голосна в du та er/sie/es.</div><div class=""example""><b>Приклад:</b><br>Du <b>fährst</b>; er <b>liest</b>.</div>",A1–A2,M05 01 Präsens,grammar tenses present A1 A2
Практика 2: складіть речення за правилом «Зміна голосної в Präsens».,"<div class=""rule""><b>Модель</b><br>У деяких сильних дієслів змінюється голосна в du та er/sie/es.</div><div class=""example""><b>Правильно:</b><br>Du <b>fährst</b>; er <b>liest</b>.</div>",A1–A2,M05 01 Präsens,grammar tenses present retrieval
sein у Präsens?,"<div class=""rule""><b>sein у Präsens</b><br>Форми треба вивчити: bin, bist, ist, sind, seid, sind.</div><div class=""example""><b>Приклад:</b><br>Ich <b>bin</b> müde, ihr <b>seid</b> pünktlich.</div>",A1,M05 01 Präsens,grammar tenses present A1
Практика 3: складіть речення за правилом «sein у Präsens».,"<div class=""rule""><b>Модель</b><br>Форми треба вивчити: bin, bist, ist, sind, seid, sind.</div><div class=""example""><b>Правильно:</b><br>Ich <b>bin</b> müde, ihr <b>seid</b> pünktlich.</div>",A1,M05 01 Präsens,grammar tenses present retrieval
haben у Präsens?,"<div class=""rule""><b>haben у Präsens</b><br>Форми du/er втрачають b: hast, hat.</div><div class=""example""><b>Приклад:</b><br>Du <b>hast</b> Zeit; sie <b>hat</b> Hunger.</div>",A1,M05 01 Präsens,grammar tenses present A1
Практика 4: складіть речення за правилом «haben у Präsens».,"<div class=""rule""><b>Модель</b><br>Форми du/er втрачають b: hast, hat.</div><div class=""example""><b>Правильно:</b><br>Du <b>hast</b> Zeit; sie <b>hat</b> Hunger.</div>",A1,M05 01 Präsens,grammar tenses present retrieval
werden у Präsens?,"<div class=""rule""><b>werden у Präsens</b><br>Форми: werde, wirst, wird, werden, werdet, werden.</div><div class=""example""><b>Приклад:</b><br>Er <b>wird</b> Arzt.</div>",A2,M05 01 Präsens,grammar tenses present A2
Практика 5: складіть речення за правилом «werden у Präsens».,"<div class=""rule""><b>Модель</b><br>Форми: werde, wirst, wird, werden, werdet, werden.</div><div class=""example""><b>Правильно:</b><br>Er <b>wird</b> Arzt.</div>",A2,M05 01 Präsens,grammar tenses present retrieval
Präsens для теперішнього?,"<div class=""rule""><b>Präsens для теперішнього</b><br>Präsens описує теперішні стани, дії та звички.</div><div class=""example""><b>Приклад:</b><br>Ich <b>arbeite</b> jeden Tag bis fünf.</div>",A1,M05 01 Präsens,grammar tenses present A1
Практика 6: складіть речення за правилом «Präsens для теперішнього».,"<div class=""rule""><b>Модель</b><br>Präsens описує теперішні стани, дії та звички.</div><div class=""example""><b>Правильно:</b><br>Ich <b>arbeite</b> jeden Tag bis fünf.</div>",A1,M05 01 Präsens,grammar tenses present retrieval
Präsens для майбутнього?,"<div class=""rule""><b>Präsens для майбутнього</b><br>З часовою вказівкою Präsens часто природніше за Futur I.</div><div class=""example""><b>Приклад:</b><br>Morgen <b>fahre</b> ich nach Hamburg.</div>",A2,M05 01 Präsens,grammar tenses present A2
Практика 7: складіть речення за правилом «Präsens для майбутнього».,"<div class=""rule""><b>Модель</b><br>З часовою вказівкою Präsens часто природніше за Futur I.</div><div class=""example""><b>Правильно:</b><br>Morgen <b>fahre</b> ich nach Hamburg.</div>",A2,M05 01 Präsens,grammar tenses present retrieval
