Front,Back,Level,Topic,Tags
Дієслово в Hauptsatz?,"<div class=""rule""><b>Дієслово в Hauptsatz</b><br>Відмінюване дієслово стоїть на позиції 2.</div><div class=""example""><b>Приклад:</b><br>Ich <b>arbeite</b> heute zu Hause.</div>",A1,M03 01 Hauptsatz,grammar word-order hauptsatz A1
Практика 1: складіть речення за правилом «Дієслово в Hauptsatz».,"<div class=""rule""><b>Модель</b><br>Відмінюване дієслово стоїть на позиції 2.</div><div class=""example""><b>Правильно:</b><br>Ich <b>arbeite</b> heute zu Hause.</div>",A1,M03 01 Hauptsatz,grammar word-order hauptsatz retrieval
Позиція 2 — не друге слово?,"<div class=""rule""><b>Позиція 2 — не друге слово</b><br>Перед дієсловом може стояти ціла група слів.</div><div class=""example""><b>Приклад:</b><br>Am nächsten Montag <b>beginnt</b> der Kurs.</div>",A1–A2,M03 01 Hauptsatz,grammar word-order hauptsatz A1 A2
Практика 2: складіть речення за правилом «Позиція 2 — не друге слово».,"<div class=""rule""><b>Модель</b><br>Перед дієсловом може стояти ціла група слів.</div><div class=""example""><b>Правильно:</b><br>Am nächsten Montag <b>beginnt</b> der Kurs.</div>",A1–A2,M03 01 Hauptsatz,grammar word-order hauptsatz retrieval
Підмет на початку?,"<div class=""rule""><b>Підмет на початку</b><br>Після підмета одразу стоїть відмінюване дієслово.</div><div class=""example""><b>Приклад:</b><br>Meine Schwester <b>wohnt</b> in Köln.</div>",A1,M03 01 Hauptsatz,grammar word-order hauptsatz A1
Практика 3: складіть речення за правилом «Підмет на початку».,"<div class=""rule""><b>Модель</b><br>Після підмета одразу стоїть відмінюване дієслово.</div><div class=""example""><b>Правильно:</b><br>Meine Schwester <b>wohnt</b> in Köln.</div>",A1,M03 01 Hauptsatz,grammar word-order hauptsatz retrieval
Інверсія після обставини?,"<div class=""rule""><b>Інверсія після обставини</b><br>Якщо позицію 1 займає обставина, підмет переходить після дієслова.</div><div class=""example""><b>Приклад:</b><br>Heute <b>arbeitet</b> mein Bruder zu Hause.</div>",A1–A2,M03 01 Hauptsatz,grammar word-order hauptsatz A1 A2
Практика 4: складіть речення за правилом «Інверсія після обставини».,"<div class=""rule""><b>Модель</b><br>Якщо позицію 1 займає обставина, підмет переходить після дієслова.</div><div class=""example""><b>Правильно:</b><br>Heute <b>arbeitet</b> mein Bruder zu Hause.</div>",A1–A2,M03 01 Hauptsatz,grammar word-order hauptsatz retrieval
Інверсія після danach?,"<div class=""rule""><b>Інверсія після danach</b><br>Danach займає позицію 1; далі йде дієслово.</div><div class=""example""><b>Приклад:</b><br>Danach <b>gehen</b> wir essen.</div>",A2,M03 01 Hauptsatz,grammar word-order hauptsatz A2
Практика 5: складіть речення за правилом «Інверсія після danach».,"<div class=""rule""><b>Модель</b><br>Danach займає позицію 1; далі йде дієслово.</div><div class=""example""><b>Правильно:</b><br>Danach <b>gehen</b> wir essen.</div>",A2,M03 01 Hauptsatz,grammar word-order hauptsatz retrieval
Інверсія після deshalb?,"<div class=""rule""><b>Інверсія після deshalb</b><br>Deshalb займає позицію 1 і не відправляє дієслово в кінець.</div><div class=""example""><b>Приклад:</b><br>Es regnet. Deshalb <b>bleiben</b> wir zu Hause.</div>",A2,M03 01 Hauptsatz,grammar word-order hauptsatz A2
Практика 6: складіть речення за правилом «Інверсія після deshalb».,"<div class=""rule""><b>Модель</b><br>Deshalb займає позицію 1 і не відправляє дієслово в кінець.</div><div class=""example""><b>Правильно:</b><br>Es regnet. Deshalb <b>bleiben</b> wir zu Hause.</div>",A2,M03 01 Hauptsatz,grammar word-order hauptsatz retrieval
Інверсія після trotzdem?,"<div class=""rule""><b>Інверсія після trotzdem</b><br>Після trotzdem відмінюване дієслово стоїть перед підметом.</div><div class=""example""><b>Приклад:</b><br>Er ist müde. Trotzdem <b>arbeitet</b> er weiter.</div>",B1,M03 01 Hauptsatz,grammar word-order hauptsatz B1
Практика 7: складіть речення за правилом «Інверсія після trotzdem».,"<div class=""rule""><b>Модель</b><br>Після trotzdem відмінюване дієслово стоїть перед підметом.</div><div class=""example""><b>Правильно:</b><br>Er ist müde. Trotzdem <b>arbeitet</b> er weiter.</div>",B1,M03 01 Hauptsatz,grammar word-order hauptsatz retrieval
Кілька головних частин?,"<div class=""rule""><b>Кілька головних частин</b><br>У кожному Hauptsatz дієслово має власну позицію 2.</div><div class=""example""><b>Приклад:</b><br>Ich koche, und meine Freundin <b>deckt</b> den Tisch.</div>",A2,M03 01 Hauptsatz,grammar word-order hauptsatz A2
Практика 8: складіть речення за правилом «Кілька головних частин».,"<div class=""rule""><b>Модель</b><br>У кожному Hauptsatz дієслово має власну позицію 2.</div><div class=""example""><b>Правильно:</b><br>Ich koche, und meine Freundin <b>deckt</b> den Tisch.</div>",A2,M03 01 Hauptsatz,grammar word-order hauptsatz retrieval
