Front,Back,Level,Topic,Tags
Що таке Genitiv?,"<div class=""rule""><b>Genitiv</b><br>Позначає належність або відношення: чий? кого? чого?</div><div class=""example""><b>Приклад:</b><br>Das Auto <b>meines Bruders</b>.</div>",B1,05 Genitiv,grammar cases genitiv B1
Яке питання має Genitiv?,"<div class=""rule""><b>Питання</b><br><b>Wessen?</b> — чий? чия? чиє? чиї?</div><div class=""example""><b>Приклад:</b><br>Wessen Auto? — Das Auto <b>meines Bruders</b>.</div>",B1,05 Genitiv,grammar cases genitiv B1
der/das → Genitiv?,"<div class=""rule""><b>Форма</b><br><b>des</b></div><div class=""example""><b>Приклад:</b><br>wegen <b>des Wetters</b></div>",B1,05 Genitiv,grammar cases genitiv article
die → Genitiv?,"<div class=""rule""><b>Форма</b><br><b>der</b></div><div class=""example""><b>Приклад:</b><br>wegen <b>der Arbeit</b></div>",B1,05 Genitiv,grammar cases genitiv article
die (Plural) → Genitiv?,"<div class=""rule""><b>Форма</b><br><b>der</b></div><div class=""example""><b>Приклад:</b><br>wegen <b>der Kinder</b></div>",B1,05 Genitiv,grammar cases genitiv article
ein (чол./сер.) → Genitiv?,"<div class=""rule""><b>Форма</b><br><b>eines</b></div><div class=""example""><b>Приклад:</b><br>das Auto <b>eines Freundes</b></div>",B1,05 Genitiv,grammar cases genitiv article
eine → Genitiv?,"<div class=""rule""><b>Форма</b><br><b>einer</b></div><div class=""example""><b>Приклад:</b><br>die Meinung <b>einer Kollegin</b></div>",B1,05 Genitiv,grammar cases genitiv article
Що часто додається до чоловічих і середніх іменників у Genitiv?,"<div class=""rule""><b>Закінчення іменника</b><br>Часто <b>-s</b> або <b>-es</b>.</div><div class=""example""><b>Приклад:</b><br>das Auto meines <b>Bruders</b>; wegen des <b>Wetters</b></div>",B1,05 Genitiv,grammar cases genitiv noun
Який відмінок нормативно вживається після <b>wegen</b>?,"<div class=""rule""><b>Genitiv</b><br>через</div><div class=""example""><b>Приклад:</b><br>Wegen <b>des Wetters</b> bleiben wir zu Hause.</div>",B1–B2,05 Genitiv,grammar cases genitiv preposition
Який відмінок нормативно вживається після <b>trotz</b>?,"<div class=""rule""><b>Genitiv</b><br>незважаючи на</div><div class=""example""><b>Приклад:</b><br>Trotz <b>des Regens</b> gehen wir spazieren.</div>",B1–B2,05 Genitiv,grammar cases genitiv preposition
Який відмінок нормативно вживається після <b>während</b>?,"<div class=""rule""><b>Genitiv</b><br>під час</div><div class=""example""><b>Приклад:</b><br>Während <b>des Urlaubs</b> lese ich viel.</div>",B1–B2,05 Genitiv,grammar cases genitiv preposition
Який відмінок нормативно вживається після <b>statt / anstatt</b>?,"<div class=""rule""><b>Genitiv</b><br>замість</div><div class=""example""><b>Приклад:</b><br>Statt <b>eines Autos</b> kauft er ein Fahrrad.</div>",B1–B2,05 Genitiv,grammar cases genitiv preposition
