Front,Back,Level,Topic,Tags
Relativsatz?,"<div class=""rule""><b>Relativsatz</b><br>Дає додаткову інформацію про іменник; дієслово стоїть у кінці.</div><div class=""example""><b>Приклад:</b><br>Das ist der Mann, <b>der hier arbeitet</b>.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 1: складіть речення за правилом «Relativsatz».,"<div class=""rule""><b>Модель</b><br>Дає додаткову інформацію про іменник; дієслово стоїть у кінці.</div><div class=""example""><b>Правильно:</b><br>Das ist der Mann, <b>der hier arbeitet</b>.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
Відмінок relative pronoun?,"<div class=""rule""><b>Відмінок relative pronoun</b><br>Визначається роллю займенника всередині Relativsatz.</div><div class=""example""><b>Приклад:</b><br>Das ist der Mann, <b>den ich kenne</b>.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 2: складіть речення за правилом «Відмінок relative pronoun».,"<div class=""rule""><b>Модель</b><br>Визначається роллю займенника всередині Relativsatz.</div><div class=""example""><b>Правильно:</b><br>Das ist der Mann, <b>den ich kenne</b>.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
Nominativ masculine?,"<div class=""rule""><b>Nominativ masculine</b><br>Der є підметом підрядної частини.</div><div class=""example""><b>Приклад:</b><br>Der Kollege, <b>der mir hilft</b>, ist neu.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 3: складіть речення за правилом «Nominativ masculine».,"<div class=""rule""><b>Модель</b><br>Der є підметом підрядної частини.</div><div class=""example""><b>Правильно:</b><br>Der Kollege, <b>der mir hilft</b>, ist neu.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
Nominativ feminine?,"<div class=""rule""><b>Nominativ feminine</b><br>Die є підметом.</div><div class=""example""><b>Приклад:</b><br>Die Frau, <b>die dort wartet</b>, ist meine Chefin.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 4: складіть речення за правилом «Nominativ feminine».,"<div class=""rule""><b>Модель</b><br>Die є підметом.</div><div class=""example""><b>Правильно:</b><br>Die Frau, <b>die dort wartet</b>, ist meine Chefin.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
Nominativ neuter?,"<div class=""rule""><b>Nominativ neuter</b><br>Das є підметом.</div><div class=""example""><b>Приклад:</b><br>Das Buch, <b>das hier liegt</b>, gehört mir.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 5: складіть речення за правилом «Nominativ neuter».,"<div class=""rule""><b>Модель</b><br>Das є підметом.</div><div class=""example""><b>Правильно:</b><br>Das Buch, <b>das hier liegt</b>, gehört mir.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
Nominativ plural?,"<div class=""rule""><b>Nominativ plural</b><br>Die є підметом plural.</div><div class=""example""><b>Приклад:</b><br>Die Leute, <b>die hier wohnen</b>, sind nett.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 6: складіть речення за правилом «Nominativ plural».,"<div class=""rule""><b>Модель</b><br>Die є підметом plural.</div><div class=""example""><b>Правильно:</b><br>Die Leute, <b>die hier wohnen</b>, sind nett.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
Akkusativ masculine?,"<div class=""rule""><b>Akkusativ masculine</b><br>Den є прямим додатком.</div><div class=""example""><b>Приклад:</b><br>Der Film, <b>den wir gesehen haben</b>, war gut.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 7: складіть речення за правилом «Akkusativ masculine».,"<div class=""rule""><b>Модель</b><br>Den є прямим додатком.</div><div class=""example""><b>Правильно:</b><br>Der Film, <b>den wir gesehen haben</b>, war gut.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
Akkusativ feminine/neuter/plural?,"<div class=""rule""><b>Akkusativ feminine/neuter/plural</b><br>Форми die, das, die збігаються з Nominativ, роль показує речення.</div><div class=""example""><b>Приклад:</b><br>Die Tasche, <b>die ich suche</b>, ist schwarz.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 8: складіть речення за правилом «Akkusativ feminine/neuter/plural».,"<div class=""rule""><b>Модель</b><br>Форми die, das, die збігаються з Nominativ, роль показує речення.</div><div class=""example""><b>Правильно:</b><br>Die Tasche, <b>die ich suche</b>, ist schwarz.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
Dativ masculine/neuter?,"<div class=""rule""><b>Dativ masculine/neuter</b><br>Dem уживається після Dativ-дієслова або прийменника.</div><div class=""example""><b>Приклад:</b><br>Der Mann, <b>dem ich helfe</b>, ist mein Nachbar.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 9: складіть речення за правилом «Dativ masculine/neuter».,"<div class=""rule""><b>Модель</b><br>Dem уживається після Dativ-дієслова або прийменника.</div><div class=""example""><b>Правильно:</b><br>Der Mann, <b>dem ich helfe</b>, ist mein Nachbar.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
