Front,Back,Level,Topic,Tags
Imperativ du без займенника?,"<div class=""rule""><b>Imperativ du без займенника</b><br>Imperativ du без займенника.</div><div class=""example""><b>Приклад:</b><br><b>Komm bitte rein!</b></div>",A1,M19 01 Core Grammar Gaps,grammar core gaps A1
Практика 1: складіть речення за правилом «Imperativ du без займенника».,"<div class=""rule""><b>Модель</b><br>Imperativ du без займенника.</div><div class=""example""><b>Правильно:</b><br><b>Komm bitte rein!</b></div>",A1,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Imperativ ihr?,"<div class=""rule""><b>Imperativ ihr</b><br>Imperativ ihr.</div><div class=""example""><b>Приклад:</b><br><b>Kommt bitte rein!</b></div>",A1,M19 01 Core Grammar Gaps,grammar core gaps A1
Практика 2: складіть речення за правилом «Imperativ ihr».,"<div class=""rule""><b>Модель</b><br>Imperativ ihr.</div><div class=""example""><b>Правильно:</b><br><b>Kommt bitte rein!</b></div>",A1,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Imperativ Sie?,"<div class=""rule""><b>Imperativ Sie</b><br>Imperativ Sie.</div><div class=""example""><b>Приклад:</b><br><b>Kommen Sie bitte rein!</b></div>",A1,M19 01 Core Grammar Gaps,grammar core gaps A1
Практика 3: складіть речення за правилом «Imperativ Sie».,"<div class=""rule""><b>Модель</b><br>Imperativ Sie.</div><div class=""example""><b>Правильно:</b><br><b>Kommen Sie bitte rein!</b></div>",A1,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Відокремлювані префікси?,"<div class=""rule""><b>Відокремлювані префікси</b><br>Відокремлювані префікси.</div><div class=""example""><b>Приклад:</b><br>Ich <b>stehe</b> um sieben <b>auf</b>.</div>",A1–A2,M19 01 Core Grammar Gaps,grammar core gaps A1 A2
Практика 4: складіть речення за правилом «Відокремлювані префікси».,"<div class=""rule""><b>Модель</b><br>Відокремлювані префікси.</div><div class=""example""><b>Правильно:</b><br>Ich <b>stehe</b> um sieben <b>auf</b>.</div>",A1–A2,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Невідокремлювані префікси?,"<div class=""rule""><b>Невідокремлювані префікси</b><br>Невідокремлювані префікси.</div><div class=""example""><b>Приклад:</b><br>Ich <b>verstehe</b> die Frage.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps A2
Практика 5: складіть речення за правилом «Невідокремлювані префікси».,"<div class=""rule""><b>Модель</b><br>Невідокремлювані префікси.</div><div class=""example""><b>Правильно:</b><br>Ich <b>verstehe</b> die Frage.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Базові артиклі?,"<div class=""rule""><b>Базові артиклі</b><br>Базові артиклі.</div><div class=""example""><b>Приклад:</b><br><b>Der</b> Mann kauft <b>ein</b> Buch.</div>",A1,M19 01 Core Grammar Gaps,grammar core gaps A1
Практика 6: складіть речення за правилом «Базові артиклі».,"<div class=""rule""><b>Модель</b><br>Базові артиклі.</div><div class=""example""><b>Правильно:</b><br><b>Der</b> Mann kauft <b>ein</b> Buch.</div>",A1,M19 01 Core Grammar Gaps,grammar core gaps retrieval
es gibt + Akkusativ?,"<div class=""rule""><b>es gibt + Akkusativ</b><br>es gibt + Akkusativ.</div><div class=""example""><b>Приклад:</b><br>Hier <b>gibt es einen Park</b>.</div>",A1,M19 01 Core Grammar Gaps,grammar core gaps A1
Практика 7: складіть речення за правилом «es gibt + Akkusativ».,"<div class=""rule""><b>Модель</b><br>es gibt + Akkusativ.</div><div class=""example""><b>Правильно:</b><br>Hier <b>gibt es einen Park</b>.</div>",A1,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Прикметник vs прислівник?,"<div class=""rule""><b>Прикметник vs прислівник</b><br>Прикметник vs прислівник.</div><div class=""example""><b>Приклад:</b><br>Ein <b>schnelles</b> Auto fährt <b>schnell</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps A2
Практика 8: складіть речення за правилом «Прикметник vs прислівник».,"<div class=""rule""><b>Модель</b><br>Прикметник vs прислівник.</div><div class=""example""><b>Правильно:</b><br>Ein <b>schnelles</b> Auto fährt <b>schnell</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Порядкові числівники?,"<div class=""rule""><b>Порядкові числівники</b><br>Порядкові числівники.</div><div class=""example""><b>Приклад:</b><br>Wir treffen uns <b>am dritten Mai</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps A2
Практика 9: складіть речення за правилом «Порядкові числівники».,"<div class=""rule""><b>Модель</b><br>Порядкові числівники.</div><div class=""example""><b>Правильно:</b><br>Wir treffen uns <b>am dritten Mai</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Дата з am + Dativ?,"<div class=""rule""><b>Дата з am + Dativ</b><br>Дата з am + Dativ.</div><div class=""example""><b>Приклад:</b><br>Der Kurs beginnt <b>am ersten September</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps A2
Практика 10: складіть речення за правилом «Дата з am + Dativ».,"<div class=""rule""><b>Модель</b><br>Дата з am + Dativ.</div><div class=""example""><b>Правильно:</b><br>Der Kurs beginnt <b>am ersten September</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Час із um / am / im?,"<div class=""rule""><b>Час із um / am / im</b><br>Час із um / am / im.</div><div class=""example""><b>Приклад:</b><br><b>um acht Uhr, am Montag, im Mai</b></div>",A1–A2,M19 01 Core Grammar Gaps,grammar core gaps A1 A2
Практика 11: складіть речення за правилом «Час із um / am / im».,"<div class=""rule""><b>Модель</b><br>Час із um / am / im.</div><div class=""example""><b>Правильно:</b><br><b>um acht Uhr, am Montag, im Mai</b></div>",A1–A2,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Прийменниковий об'єкт?,"<div class=""rule""><b>Прийменниковий об&#x27;єкт</b><br>Прийменниковий об'єкт.</div><div class=""example""><b>Приклад:</b><br>Wir <b>warten auf den Zug</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps A2
Практика 12: складіть речення за правилом «Прийменниковий об'єкт».,"<div class=""rule""><b>Модель</b><br>Прийменниковий об'єкт.</div><div class=""example""><b>Правильно:</b><br>Wir <b>warten auf den Zug</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Reflexive vs non-reflexive?,"<div class=""rule""><b>Reflexive vs non-reflexive</b><br>Reflexive vs non-reflexive.</div><div class=""example""><b>Приклад:</b><br>Ich <b>wasche mich</b>; ich <b>wasche das Auto</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps A2
Практика 13: складіть речення за правилом «Reflexive vs non-reflexive».,"<div class=""rule""><b>Модель</b><br>Reflexive vs non-reflexive.</div><div class=""example""><b>Правильно:</b><br>Ich <b>wasche mich</b>; ich <b>wasche das Auto</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Verb conjugation: -t/-d?,"<div class=""rule""><b>Verb conjugation: -t/-d</b><br>Verb conjugation: -t/-d.</div><div class=""example""><b>Приклад:</b><br>Du <b>arbeitest</b>, er <b>arbeitet</b>.</div>",A1,M19 01 Core Grammar Gaps,grammar core gaps A1
Практика 14: складіть речення за правилом «Verb conjugation: -t/-d».,"<div class=""rule""><b>Модель</b><br>Verb conjugation: -t/-d.</div><div class=""example""><b>Правильно:</b><br>Du <b>arbeitest</b>, er <b>arbeitet</b>.</div>",A1,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Stem-changing e → i/ie?,"<div class=""rule""><b>Stem-changing e → i/ie</b><br>Stem-changing e → i/ie.</div><div class=""example""><b>Приклад:</b><br>Du <b>gibst</b>; sie <b>liest</b>.</div>",A1–A2,M19 01 Core Grammar Gaps,grammar core gaps A1 A2
Практика 15: складіть речення за правилом «Stem-changing e → i/ie».,"<div class=""rule""><b>Модель</b><br>Stem-changing e → i/ie.</div><div class=""example""><b>Правильно:</b><br>Du <b>gibst</b>; sie <b>liest</b>.</div>",A1–A2,M19 01 Core Grammar Gaps,grammar core gaps retrieval
Genitiv із власними назвами?,"<div class=""rule""><b>Genitiv із власними назвами</b><br>Genitiv із власними назвами.</div><div class=""example""><b>Приклад:</b><br>Das ist <b>Annas Buch</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps A2
Практика 16: складіть речення за правилом «Genitiv із власними назвами».,"<div class=""rule""><b>Модель</b><br>Genitiv із власними назвами.</div><div class=""example""><b>Правильно:</b><br>Das ist <b>Annas Buch</b>.</div>",A2,M19 01 Core Grammar Gaps,grammar core gaps retrieval
