Front,Back,Level,Topic,Tags
Слабке відмінювання?,"<div class=""rule""><b>Слабке відмінювання</b><br>Після der-слова артикль уже показує рід і відмінок; прикметник має -e або -en.</div><div class=""example""><b>Приклад:</b><br><b>der gute Mann</b>, <b>mit dem guten Mann</b></div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 1: складіть речення за правилом «Слабке відмінювання».,"<div class=""rule""><b>Модель</b><br>Після der-слова артикль уже показує рід і відмінок; прикметник має -e або -en.</div><div class=""example""><b>Правильно:</b><br><b>der gute Mann</b>, <b>mit dem guten Mann</b></div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Nominativ після der?,"<div class=""rule""><b>Nominativ після der</b><br>У singular після der/die/das прикметник має -e.</div><div class=""example""><b>Приклад:</b><br>der <b>neue</b> Kurs, die <b>neue</b> Wohnung</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 2: складіть речення за правилом «Nominativ після der».,"<div class=""rule""><b>Модель</b><br>У singular після der/die/das прикметник має -e.</div><div class=""example""><b>Правильно:</b><br>der <b>neue</b> Kurs, die <b>neue</b> Wohnung</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Akkusativ після der?,"<div class=""rule""><b>Akkusativ після der</b><br>Лише feminine/neuter мають -e; masculine і plural — -en.</div><div class=""example""><b>Приклад:</b><br>den <b>neuen</b> Kurs, die <b>neue</b> Wohnung</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 3: складіть речення за правилом «Akkusativ після der».,"<div class=""rule""><b>Модель</b><br>Лише feminine/neuter мають -e; masculine і plural — -en.</div><div class=""example""><b>Правильно:</b><br>den <b>neuen</b> Kurs, die <b>neue</b> Wohnung</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Dativ після definite article?,"<div class=""rule""><b>Dativ після definite article</b><br>У всіх родах і plural прикметник має -en.</div><div class=""example""><b>Приклад:</b><br>mit dem <b>neuen</b> Auto</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 4: складіть речення за правилом «Dativ після definite article».,"<div class=""rule""><b>Модель</b><br>У всіх родах і plural прикметник має -en.</div><div class=""example""><b>Правильно:</b><br>mit dem <b>neuen</b> Auto</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Genitiv після definite article?,"<div class=""rule""><b>Genitiv після definite article</b><br>Прикметник має -en; іменник masculine/neuter часто -(e)s.</div><div class=""example""><b>Приклад:</b><br>wegen des <b>starken</b> Regens</div>",B1,M07 01 Adjective Declension,grammar adjectives declension B1
Практика 5: складіть речення за правилом «Genitiv після definite article».,"<div class=""rule""><b>Модель</b><br>Прикметник має -en; іменник masculine/neuter часто -(e)s.</div><div class=""example""><b>Правильно:</b><br>wegen des <b>starken</b> Regens</div>",B1,M07 01 Adjective Declension,grammar adjectives declension retrieval
Plural після definite article?,"<div class=""rule""><b>Plural після definite article</b><br>З die/den/der прикметник має -en.</div><div class=""example""><b>Приклад:</b><br>die <b>neuen</b> Bücher</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 6: складіть речення за правилом «Plural після definite article».,"<div class=""rule""><b>Модель</b><br>З die/den/der прикметник має -en.</div><div class=""example""><b>Правильно:</b><br>die <b>neuen</b> Bücher</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Змішане відмінювання?,"<div class=""rule""><b>Змішане відмінювання</b><br>Після ein-слова прикметник показує відсутнє закінчення артикля.</div><div class=""example""><b>Приклад:</b><br>ein <b>guter</b> Mann, eine <b>gute</b> Idee</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 7: складіть речення за правилом «Змішане відмінювання».,"<div class=""rule""><b>Модель</b><br>Після ein-слова прикметник показує відсутнє закінчення артикля.</div><div class=""example""><b>Правильно:</b><br>ein <b>guter</b> Mann, eine <b>gute</b> Idee</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Nominativ masculine після ein?,"<div class=""rule""><b>Nominativ masculine після ein</b><br>Прикметник отримує -er.</div><div class=""example""><b>Приклад:</b><br>ein <b>alter</b> Freund</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 8: складіть речення за правилом «Nominativ masculine після ein».,"<div class=""rule""><b>Модель</b><br>Прикметник отримує -er.</div><div class=""example""><b>Правильно:</b><br>ein <b>alter</b> Freund</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Nominativ neuter після ein?,"<div class=""rule""><b>Nominativ neuter після ein</b><br>Прикметник отримує -es.</div><div class=""example""><b>Приклад:</b><br>ein <b>kleines</b> Kind</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 9: складіть речення за правилом «Nominativ neuter після ein».,"<div class=""rule""><b>Модель</b><br>Прикметник отримує -es.</div><div class=""example""><b>Правильно:</b><br>ein <b>kleines</b> Kind</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Akkusativ masculine після ein?,"<div class=""rule""><b>Akkusativ masculine після ein</b><br>Артикль має -en, прикметник також -en.</div><div class=""example""><b>Приклад:</b><br>einen <b>alten</b> Freund</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 10: складіть речення за правилом «Akkusativ masculine після ein».,"<div class=""rule""><b>Модель</b><br>Артикль має -en, прикметник також -en.</div><div class=""example""><b>Правильно:</b><br>einen <b>alten</b> Freund</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Dativ після ein?,"<div class=""rule""><b>Dativ після ein</b><br>Прикметник має -en у всіх родах.</div><div class=""example""><b>Приклад:</b><br>mit einem <b>alten</b> Freund</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
