Front,Back,Level,Topic,Tags
Що таке Nominativ?,"<div class=""rule""><b>Nominativ</b><br>Відмінок підмета: хто або що виконує дію?</div><div class=""example""><b>Приклад:</b><br><b>Der Mann</b> arbeitet.</div>",A1,01 Nominativ,grammar cases nominativ A1
Які питання має Nominativ?,"<div class=""rule""><b>Питання</b><br><b>Wer? Was?</b> — хто? що?</div><div class=""example""><b>Приклад:</b><br><b>Wer</b> kommt? — Der Lehrer.</div>",A1,01 Nominativ,grammar cases nominativ A1
Артикль чоловічого роду в Nominativ?,"<div class=""rule""><b>Форма</b><br><b>der</b></div><div class=""example""><b>Приклад:</b><br><b>Der Mann</b> kommt.</div>",A1,01 Nominativ,grammar cases nominativ A1
Артикль жіночого роду в Nominativ?,"<div class=""rule""><b>Форма</b><br><b>die</b></div><div class=""example""><b>Приклад:</b><br><b>Die Frau</b> arbeitet.</div>",A1,01 Nominativ,grammar cases nominativ A1
Артикль середнього роду в Nominativ?,"<div class=""rule""><b>Форма</b><br><b>das</b></div><div class=""example""><b>Приклад:</b><br><b>Das Kind</b> schläft.</div>",A1,01 Nominativ,grammar cases nominativ A1
Артикль множини в Nominativ?,"<div class=""rule""><b>Форма</b><br><b>die</b></div><div class=""example""><b>Приклад:</b><br><b>Die Kinder</b> spielen.</div>",A1,01 Nominativ,grammar cases nominativ A1
Неозначений артикль чоловічого роду в Nominativ?,"<div class=""rule""><b>Форма</b><br><b>ein</b></div><div class=""example""><b>Приклад:</b><br><b>Ein Mann</b> wartet.</div>",A1,01 Nominativ,grammar cases nominativ A1
Неозначений артикль жіночого роду в Nominativ?,"<div class=""rule""><b>Форма</b><br><b>eine</b></div><div class=""example""><b>Приклад:</b><br><b>Eine Frau</b> fragt.</div>",A1,01 Nominativ,grammar cases nominativ A1
Неозначений артикль середнього роду в Nominativ?,"<div class=""rule""><b>Форма</b><br><b>ein</b></div><div class=""example""><b>Приклад:</b><br><b>Ein Kind</b> lacht.</div>",A1,01 Nominativ,grammar cases nominativ A1
___ Mann arbeitet. (der),"<div class=""rule""><b>Відповідь</b><br><b>Der Mann</b> arbeitet.</div><div class=""example""><b>Приклад:</b><br>Mann виконує дію → Nominativ.</div>",A1,01 Nominativ,grammar cases nominativ exercise A1
___ Frau kommt aus Berlin. (die),"<div class=""rule""><b>Відповідь</b><br><b>Die Frau</b> kommt aus Berlin.</div><div class=""example""><b>Приклад:</b><br>Frau — підмет.</div>",A1,01 Nominativ,grammar cases nominativ exercise A1
___ Kind schläft. (das),"<div class=""rule""><b>Відповідь</b><br><b>Das Kind</b> schläft.</div><div class=""example""><b>Приклад:</b><br>Kind — підмет.</div>",A1,01 Nominativ,grammar cases nominativ exercise A1
___ Freunde warten draußen. (die),"<div class=""rule""><b>Відповідь</b><br><b>Die Freunde</b> warten draußen.</div><div class=""example""><b>Приклад:</b><br>Freunde — підмет.</div>",A1,01 Nominativ,grammar cases nominativ exercise A1
___ Arzt ist nett. (ein),"<div class=""rule""><b>Відповідь</b><br><b>Ein Arzt</b> ist nett.</div><div class=""example""><b>Приклад:</b><br>Arzt — підмет.</div>",A1,01 Nominativ,grammar cases nominativ exercise A1
Який відмінок зазвичай стоїть після <b>sein</b> у значенні «бути/стати/залишатися кимось»?,"<div class=""rule""><b>Nominativ</b><br>Після sein, werden, bleiben іменна частина присудка стоїть у Nominativ.</div><div class=""example""><b>Приклад:</b><br>Er ist <b>ein guter Arzt</b>.</div>",A2,01 Nominativ,grammar cases nominativ A2
Який відмінок зазвичай стоїть після <b>werden</b> у значенні «бути/стати/залишатися кимось»?,"<div class=""rule""><b>Nominativ</b><br>Після sein, werden, bleiben іменна частина присудка стоїть у Nominativ.</div><div class=""example""><b>Приклад:</b><br>Sie wird <b>Ärztin</b>.</div>",A2,01 Nominativ,grammar cases nominativ A2
Який відмінок зазвичай стоїть після <b>bleiben</b> у значенні «бути/стати/залишатися кимось»?,"<div class=""rule""><b>Nominativ</b><br>Після sein, werden, bleiben іменна частина присудка стоїть у Nominativ.</div><div class=""example""><b>Приклад:</b><br>Er bleibt <b>mein Freund</b>.</div>",A2,01 Nominativ,grammar cases nominativ A2
