Front,Back,Level,Topic,Tags
weil?,"<div class=""rule""><b>weil</b><br>Вводить причину; дієслово підрядної частини стоїть у кінці.</div><div class=""example""><b>Приклад:</b><br>Ich gehe früh ins Bett, <b>weil ich müde bin</b>.</div>",A2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate A2
Практика 1: складіть речення за правилом «weil».,"<div class=""rule""><b>Модель</b><br>Вводить причину; дієслово підрядної частини стоїть у кінці.</div><div class=""example""><b>Правильно:</b><br>Ich gehe früh ins Bett, <b>weil ich müde bin</b>.</div>",A2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
dass?,"<div class=""rule""><b>dass</b><br>Вводить зміст думки або повідомлення; дієслово в кінці.</div><div class=""example""><b>Приклад:</b><br>Ich glaube, <b>dass er recht hat</b>.</div>",A2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate A2
Практика 2: складіть речення за правилом «dass».,"<div class=""rule""><b>Модель</b><br>Вводить зміст думки або повідомлення; дієслово в кінці.</div><div class=""example""><b>Правильно:</b><br>Ich glaube, <b>dass er recht hat</b>.</div>",A2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
obwohl?,"<div class=""rule""><b>obwohl</b><br>Вводить поступку; результат суперечить очікуванню.</div><div class=""example""><b>Приклад:</b><br>Sie geht spazieren, <b>obwohl es regnet</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B1
Практика 3: складіть речення за правилом «obwohl».,"<div class=""rule""><b>Модель</b><br>Вводить поступку; результат суперечить очікуванню.</div><div class=""example""><b>Правильно:</b><br>Sie geht spazieren, <b>obwohl es regnet</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
wenn?,"<div class=""rule""><b>wenn</b><br>Умова або повторювана дія в теперішньому/минулому.</div><div class=""example""><b>Приклад:</b><br><b>Wenn ich Zeit habe</b>, lese ich.</div>",A2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate A2
Практика 4: складіть речення за правилом «wenn».,"<div class=""rule""><b>Модель</b><br>Умова або повторювана дія в теперішньому/минулому.</div><div class=""example""><b>Правильно:</b><br><b>Wenn ich Zeit habe</b>, lese ich.</div>",A2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
als?,"<div class=""rule""><b>als</b><br>Одноразова подія в минулому.</div><div class=""example""><b>Приклад:</b><br><b>Als ich klein war</b>, wohnte ich in Kyjiw.</div>",A2–B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate A2 B1
Практика 5: складіть речення за правилом «als».,"<div class=""rule""><b>Модель</b><br>Одноразова подія в минулому.</div><div class=""example""><b>Правильно:</b><br><b>Als ich klein war</b>, wohnte ich in Kyjiw.</div>",A2–B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
ob?,"<div class=""rule""><b>ob</b><br>Непряме питання без питального слова: чи.</div><div class=""example""><b>Приклад:</b><br>Ich weiß nicht, <b>ob er kommt</b>.</div>",A2–B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate A2 B1
Практика 6: складіть речення за правилом «ob».,"<div class=""rule""><b>Модель</b><br>Непряме питання без питального слова: чи.</div><div class=""example""><b>Правильно:</b><br>Ich weiß nicht, <b>ob er kommt</b>.</div>",A2–B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
