Front,Back,Level,Topic,Tags
zu + Infinitiv?,"<div class=""rule""><b>zu + Infinitiv</b><br>Zu стоїть безпосередньо перед простим інфінітивом.</div><div class=""example""><b>Приклад:</b><br>Ich versuche, <b>mehr zu schlafen</b>.</div>",A2,M06 02 Infinitive Constructions,grammar infinitive A2
Практика 1: складіть речення за правилом «zu + Infinitiv».,"<div class=""rule""><b>Модель</b><br>Zu стоїть безпосередньо перед простим інфінітивом.</div><div class=""example""><b>Правильно:</b><br>Ich versuche, <b>mehr zu schlafen</b>.</div>",A2,M06 02 Infinitive Constructions,grammar infinitive retrieval
Відокремлюване дієслово з zu?,"<div class=""rule""><b>Відокремлюване дієслово з zu</b><br>Zu вставляється між префіксом та основою.</div><div class=""example""><b>Приклад:</b><br>Ich versuche, früher <b>aufzustehen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 2: складіть речення за правилом «Відокремлюване дієслово з zu».,"<div class=""rule""><b>Модель</b><br>Zu вставляється між префіксом та основою.</div><div class=""example""><b>Правильно:</b><br>Ich versuche, früher <b>aufzustehen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
Невідокремлюване дієслово з zu?,"<div class=""rule""><b>Невідокремлюване дієслово з zu</b><br>Zu стоїть перед цілим інфінітивом.</div><div class=""example""><b>Приклад:</b><br>Er hofft, die Prüfung <b>zu bestehen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 3: складіть речення за правилом «Невідокремлюване дієслово з zu».,"<div class=""rule""><b>Модель</b><br>Zu стоїть перед цілим інфінітивом.</div><div class=""example""><b>Правильно:</b><br>Er hofft, die Prüfung <b>zu bestehen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
Дієслова + zu?,"<div class=""rule""><b>Дієслова + zu</b><br>Versuchen, hoffen, planen, vergessen часто вимагають zu + Infinitiv.</div><div class=""example""><b>Приклад:</b><br>Wir planen, im Mai <b>umzuziehen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 4: складіть речення за правилом «Дієслова + zu».,"<div class=""rule""><b>Модель</b><br>Versuchen, hoffen, planen, vergessen часто вимагають zu + Infinitiv.</div><div class=""example""><b>Правильно:</b><br>Wir planen, im Mai <b>umzuziehen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
Прикметник + zu?,"<div class=""rule""><b>Прикметник + zu</b><br>Після es ist + прикметник часто вживається zu + Infinitiv.</div><div class=""example""><b>Приклад:</b><br>Es ist wichtig, genug Wasser <b>zu trinken</b>.</div>",A2–B1,M06 02 Infinitive Constructions,grammar infinitive A2 B1
Практика 5: складіть речення за правилом «Прикметник + zu».,"<div class=""rule""><b>Модель</b><br>Після es ist + прикметник часто вживається zu + Infinitiv.</div><div class=""example""><b>Правильно:</b><br>Es ist wichtig, genug Wasser <b>zu trinken</b>.</div>",A2–B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
Іменник + zu?,"<div class=""rule""><b>Іменник + zu</b><br>Після Zeit, Lust, Möglichkeit часто вживається zu + Infinitiv.</div><div class=""example""><b>Приклад:</b><br>Ich habe keine Zeit, heute <b>zu kochen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 6: складіть речення за правилом «Іменник + zu».,"<div class=""rule""><b>Модель</b><br>Після Zeit, Lust, Möglichkeit часто вживається zu + Infinitiv.</div><div class=""example""><b>Правильно:</b><br>Ich habe keine Zeit, heute <b>zu kochen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
brauchen + nicht + zu?,"<div class=""rule""><b>brauchen + nicht + zu</b><br>Означає «не потрібно» й потребує заперечення.</div><div class=""example""><b>Приклад:</b><br>Du brauchst morgen <b>nicht zu kommen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 7: складіть речення за правилом «brauchen + nicht + zu».,"<div class=""rule""><b>Модель</b><br>Означає «не потрібно» й потребує заперечення.</div><div class=""example""><b>Правильно:</b><br>Du brauchst morgen <b>nicht zu kommen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
um ... zu?,"<div class=""rule""><b>um ... zu</b><br>Виражає мету за однакового підмета.</div><div class=""example""><b>Приклад:</b><br>Ich lerne viel, <b>um die Prüfung zu bestehen</b>.</div>",A2–B1,M06 02 Infinitive Constructions,grammar infinitive A2 B1
Практика 8: складіть речення за правилом «um ... zu».,"<div class=""rule""><b>Модель</b><br>Виражає мету за однакового підмета.</div><div class=""example""><b>Правильно:</b><br>Ich lerne viel, <b>um die Prüfung zu bestehen</b>.</div>",A2–B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
damit замість um ... zu?,"<div class=""rule""><b>damit замість um ... zu</b><br>За різних підметів вживаємо damit + речення.</div><div class=""example""><b>Приклад:</b><br>Ich erkläre es, <b>damit du es verstehst</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 9: складіть речення за правилом «damit замість um ... zu».,"<div class=""rule""><b>Модель</b><br>За різних підметів вживаємо damit + речення.</div><div class=""example""><b>Правильно:</b><br>Ich erkläre es, <b>damit du es verstehst</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
ohne ... zu?,"<div class=""rule""><b>ohne ... zu</b><br>Описує дію, якої не відбулося; підмет той самий.</div><div class=""example""><b>Приклад:</b><br>Er ging, <b>ohne sich zu verabschieden</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 10: складіть речення за правилом «ohne ... zu».,"<div class=""rule""><b>Модель</b><br>Описує дію, якої не відбулося; підмет той самий.</div><div class=""example""><b>Правильно:</b><br>Er ging, <b>ohne sich zu verabschieden</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
statt ... zu?,"<div class=""rule""><b>statt ... zu</b><br>Описує невиконану альтернативу; підмет той самий.</div><div class=""example""><b>Приклад:</b><br>Sie fährt Rad, <b>statt das Auto zu nehmen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 11: складіть речення за правилом «statt ... zu».,"<div class=""rule""><b>Модель</b><br>Описує невиконану альтернативу; підмет той самий.</div><div class=""example""><b>Правильно:</b><br>Sie fährt Rad, <b>statt das Auto zu nehmen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
lassen + Infinitiv?,"<div class=""rule""><b>lassen + Infinitiv</b><br>Після lassen інфінітив уживається без zu.</div><div class=""example""><b>Приклад:</b><br>Ich <b>lasse mein Fahrrad reparieren</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 12: складіть речення за правилом «lassen + Infinitiv».,"<div class=""rule""><b>Модель</b><br>Після lassen інфінітив уживається без zu.</div><div class=""example""><b>Правильно:</b><br>Ich <b>lasse mein Fahrrad reparieren</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
sich lassen + Infinitiv?,"<div class=""rule""><b>sich lassen + Infinitiv</b><br>Означає можливість виконання дії.</div><div class=""example""><b>Приклад:</b><br>Das Problem <b>lässt sich lösen</b>.</div>",B2,M06 02 Infinitive Constructions,grammar infinitive B2
